GROUP_ID,ARTIFACT_ID,VERSION,LOC,USAGE_NUM,CLASS_NUM
org.neo4j.build.plugins,licensing-maven-plugin,1.7.8,1627,0,14
org.apache.velocity.tools,velocity-tools-view-jsp,3.0,1009,2,11
de.shadowhunt,subversion,2.1.0,3937,0,88
com.wizarius,wizarius-orm,0.0.6,3078,0,65
org.geolatte,geolatte-geojson,1.4.0,757,2,17
org.ikasan,ikasan-builder,3.0.1,6070,3,86
org.jboss.invocation,jboss-invocation-jakarta,1.7.0.Final,2367,7,57
com.twitter,distributedlog-mapreduce_2.11,0.3.51-RC1,257,0,4
com.github.oranda,libanius_3,0.9.9.2,24437,0,218
org.vafer,jdeb,1.7,107149,7,1308
org.flowable,flowable-ui-modeler-conf,6.2.0,652,8,12
org.squeryl,squeryl_2.12,0.9.11,53516,3,500
org.jetbrains.intellij.plugins,structure-intellij,3.194,7647,2,105
com.devontrain.jaxb,jackmods,1.0.0,491684,0,3
com.devskiller.duramen,duramen,1.1.2,676,0,24
org.greencheek.related,related-searching,1.0.3,2500,1,82
com.eworkcloud,ework-cloud-starter-mybatis,1.0.0,346,0,8
io.playn,playn-bugvm,2.0-rc4,3871,0,55
org.wso2.bpel,ode-bpel-compiler,1.3.5-wso2v21,10245,8,250
org.clulab,processors-corenlp_2.12,7.4.3,7613,4,75
com.trasier,trasier-client-opentracing-spring-interceptor-boot-legacy,1.3.1,104,0,2
com.jsmartframework,jsmart-web,2.1.3,17729,0,221
io.fsq,twofishes-index-models_2.11,2.0.2,12846,4,316
org.nhind,direct-james-server,6.0,4199,0,63
org.grails,grails-bootstrap,3.0.13,9063,32,125
org.atomspace.camel,camel-tinkerforge,2.14.0,15654,0,157
de.digitalcollections.model,dc-model-xml,4.0.1,209,0,5
io.cloudevents,cloudevents-api,0.3.0,2193,20,89
io.github.Yash-777,SeleniumWebDrivers,1.0.0,847,0,30
com.intoverflow.base,intoverflow-dbv,1.1.1,1638,1,22
io.provenance.hdwallet,hdwallet-common,0.1.12,276,5,3
org.datasyslab,geospark-sql_2.1,1.1.1,6228,1,97
com.att.ajsc,ajsc-runner,3.0.3-oss,124089,2,1460
org.eclipse.neoscada.core,org.eclipse.scada.da.server.exporter.modbus,0.3.0,1432,0,17
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.stanfordnlp-gpl,1.6.1,2011,15,28
com.arm.mbed.cloud.sdk,mbedcloud_common,2.1.0,1018,2,24
com.eiipii,etcdhttpclient_2.11,0.1.0,20093,0,327
net.javapla.jawn,jawn,0.1.1,7314,0,142
com.outr,hasher_2.10,1.2.1,2522,0,59
org.ikasan,ikasan-framework,0.8.3,11228,17,249
se.vgregion.rss-client,rss-client-bc-core-composite-svc,1.0,406,2,11
org.syncope.identityconnectors.bundles.staticws,staticwebservice,0.2.2,653,1,4
com.linkedin.gobblin,gobblin-aws,0.11.0,1576,0,23
org.mybatis,mybatis-guice,3.8,3922,10,90
com.github.eljah,xmindjbehaveplugin,0.8,19522,0,304
org.fuzzydb,org.fuzzydb.util,1.0.0.M2,4772,4,82
com.iqarr.maven.plugin,jcv-maven-plugin,0.0.3,8429,0,34
de.julielab,jcore-xml-reader,2.0.1,184,2,2
com.davegurnell,anchorman-core_2.12,0.4.0,11884,1,133
com.dattack,jtoolbox-commons-email,0.1,136,0,1
org.apache.jmeter,ApacheJMeter_components,5.0,24077,37,269
org.tplatform,tplatform-service,0.0.1,6377,0,88
com.threewks.spring,spring-boot-gae,1.0.0-beta-4,3733,0,112
me.escoffier.fluid,simple-mediation-example,0.8,129,0,4
fr.vsct.tock,nlp-api-client,0.4.0,2337,0,28
se.vgregion.oppna-program-notessystem,oppna-program-notessystem-calendar-composite-svc,1.4,74,1,3
org.pageseeder.ox,pso-ox-berlioz,2.2.6-beta.2,1293,1,20
org.ektorp,org.ektorp,1.3.0,9905,20,199
com.iussoft,iussoft-component,3.3.2,3290,1,37
io.provenance.hdwallet,hdwallet-bech32,0.1.10,1341,2,3
io.evanwong.oss,hipchat-java,0.3.0,259042,1,42
com.github.dou2,fastdb,0.1.0,1580,0,25
org.zkoss.zk,zhtml,6.0.0,1786,25,96
org.dkpro.similarity,dkpro-similarity-algorithms-vsm-asl,2.2.0,2142,5,36
org.eclipse.neoscada.core,org.eclipse.scada.da.protocol.ngp.codec,0.2.0,1101,2,16
com.clovellytech,h4sm-files_2.12,0.0.20,9101,2,82
com.manydesigns,portofino-jersey,4.2.8,13,4,1
com.elogiclab.guardbee,guardbee-core_2.10,0.1.0-M1,13758,2,205
com.github.psi-probe,psi-probe-core,3.0.0,19770,4,302
com.focframework,focOfficeLink,1.7.3,2096,1,30
com.qwazr,qwazr-scheduler,1.0.1,423,3,12
org.wso2.ei,org.wso2.micro.integrator.inbound.endpoint.osgi,1.2.0-m2,68,2,4
org.apache.commons,commons-compress,1.9,18100,69,200
org.jbpm,jbpm-designer-backend,6.2.0.CR3,23856,7,207
org.scalatra,scalatra-fileupload_2.10,2.4.0.RC2,3453,1,23
br.com.caelum,vraptor,3.5.0,15356,70,480
org.wetator,wetator,1.6.0,15773,2,226
net.databinder,dispatch-http-json_2.9.0-1,0.7.8,79,4,5
com.google.cloud.bigdataoss,bigquery-connector,0.7.3-hadoop2,2133,17,32
net.databinder,dispatch-http-json_2.8.0.RC2,0.7.3,125,4,5
org.squeryl,squeryl_2.12.0-RC2,0.9.7,53077,0,491
com.github.nscuro,webdriver-manager,0.1.0,1471,0,37
io.scalecube,rsocket-services-transport,2.0.15,199,12,7
com.networknt,specification,1.5.27,56,4,3
br.com.caelum,vraptor,3.5.3,16023,70,493
com.helger,ph-bc,9.5.1,63,7,2
com.uchuhimo,konf-xml,0.15.1,247,1,4
com.kyleu,projectile-export_2.12,1.1.7,75811,1,1104
io.americanexpress,synapse-data-postgres,0.1.0,181,0,2
com.wizarius,wizarius-orm,0.0.2,3587,0,81
cash.muro,cashidss,0.1.0-alpha,714,0,19
com.ifnoelse,uncia,1.0.5,1769,0,35
org.apache.hadoop.contrib,hadoop-hdfs-bkjournal,2.7.2,3347,0,29
net.sansa-stack,sansa-rdf-spark-core_2.11,0.3.0,14578,5,517
com.github.nic-luo,rober-office,1.0,7014,1,88
com.github.ozsie,detekt-maven-plugin,1.0.0-RC14,970,0,8
org.realityforge.proxy-servlet,proxy-servlet,0.3.0,303,0,1
com.wgtwo.api.v0.grpc,calling,0.1.2,2320,0,25
com.wueasy,wueasy-bus-plugin-dubbo,2.2.1,21,2,1
io.knotx,knotx-adapter-service-http,1.4.0,67,3,2
com.coxautodata,waimak-rdbm-ingestion_2.12,2.4,4139,0,40
com.networknt,prometheus,1.5.18,171,0,3
com.networknt,traceability,1.5.11,63,15,2
cn.allbs,allbs-common,1.0.6,2531,12,46
com.spotify,helios-services,0.9.167,13965,2,266
io.provenance.hdwallet,hdwallet-signer,0.1.8,366,1,14
top.plong,ms-workable-flow-idm,0.0.4,510,0,4
org.drools,drools-pipeline,5.2.0.Final,2028,1,82
io.jmad,jmad-core,0.7.10,19266,2,434
net.roseboy,jeee-filereview,0.0.7,168,0,3
ua.profitsoft.social,spring-social-botframework-core,0.1.0,3450,4,92
se.vgregion.pubsubhubbub,pubsubhubbub-hub-composite-websocket,0.5.5,106,1,2
io.cloudslang.content,cs-database,0.0.14,3893,0,51
com.centit.support,centit-es-client,0.1.1901,1343,0,15
org.graylog.jest,jest-common,2.4.10+jackson,7947,1,262
net.databinder,dispatch-http-json_2.9.0,0.7.8,79,4,5
com.networknt,graphql-common,1.5.9,108,3,5
com.googlecode.struts2-conversation,struts2-conversation-scope-plugin,1.5.4,3965,1,109
net.optionfactory,problems,1.2.1,537,0,13
org.eclipse.neoscada.protocols,org.eclipse.scada.protocol.tkpt,0.2.0,92,1,2
org.swisspush,mod-metrics,2.1.4,285,0,1
com.graphhopper,graphhopper-tools,0.2,819,0,20
org.mongodb.mongo-hadoop,mongo-hadoop-core,1.4.1,5327,10,55
com.att.ajsc,sdk-java-si-interceptor,6.2.0.1-oss,665,3,15
org.fuzzydb.atom,org.fuzzydb.atom,1.0.0.M1,805,1,18
net.liftweb,lift-mongodb-record,2.0-RC1,3048,0,85
com.amazon.emr,shims-common,4.2.0,11,5,1
com.digitalpebble.stormcrawler,storm-crawler-solr,1.8,599,0,7
cn.jants,ants-core,1.1.17,25787,0,323
com.rockagen,commons-lib,0.1.4,2238,1,25
org.jgroups.kubernetes,common,0.9.2,1132,4,30
com.iussoft,iussoft-info,3.2.1,5085,0,57
net.ttddyy,spring-social-slideshare,1.0.0,1755,0,52
io.virtdata,virtdata-docsys,2.11.40,993,1,20
io.kcache,kcache-lmdb,3.4.4,315,3,2
