CVE_ID,CVSS,CWE,VUL_FUNs
CVE-2013-4600,4.3,CWE-79,org.opencms.workplace.CmsDialog:dialogHead(java.lang.String);org.opencms.util.CmsStringUtil:escapeJavaScript(java.lang.String)
CVE-2018-3831,4.0,CWE-200,"org.elasticsearch.rest.action.admin.cluster.RestClusterGetSettingsAction:renderResponse(org.elasticsearch.cluster.ClusterState,boolean,org.elasticsearch.common.xcontent.XContentBuilder,org.elasticsearch.common.xcontent.ToXContent$Params);org.elasticsearch.rest.action.admin.cluster.RestClusterGetSettingsAction:prepareRequest(org.elasticsearch.rest.RestRequest,org.elasticsearch.client.node.NodeClient)"
CVE-2022-23596,5.0,CWE-835,com.github.junrar.Archive:readHeaders(long)
CVE-2021-39154,6.0,CWE-502,"com.thoughtworks.xstream.XStream:readResolve();com.thoughtworks.xstream.XStream:setupSecurity();com.thoughtworks.xstream.XStreamer:fromXML(com.thoughtworks.xstream.io.HierarchicalStreamDriver,java.io.Reader,com.thoughtworks.xstream.security.TypePermission[]);com.thoughtworks.xstream.XStream:unmarshal(com.thoughtworks.xstream.io.HierarchicalStreamReader,java.lang.Object,com.thoughtworks.xstream.converters.DataHolder);com.thoughtworks.xstream.XStreamer:toXML(com.thoughtworks.xstream.XStream,java.lang.Object,java.io.Writer);com.thoughtworks.xstream.XStream:setupDefaultSecurity(com.thoughtworks.xstream.XStream);com.thoughtworks.xstream.XStream:addPermission(com.thoughtworks.xstream.security.TypePermission)"
CVE-2020-26217,9.3,CWE-78,com.thoughtworks.xstream.XStream:setupSecurity()
CVE-2021-37714,5.0,CWE-248,org.jsoup.parser.HtmlTreeBuilder:reconstructFormattingElements()
CVE-2019-3888,5.0,CWE-532,io.undertow.server.HttpServerExchange:toString()
CVE-2017-12626,5.0,CWE-835,"org.apache.poi.hpsf.MutableSection:<init>(org.apache.poi.hpsf.Section);org.apache.poi.hpsf.Section:getPIDString(long);org.apache.poi.hpsf.MutableSection:setCodepage(int);org.apache.poi.hpsf.MutableSection:setProperty(int,long,java.lang.Object);org.apache.poi.hpsf.Section:toString();org.apache.poi.hpsf.Section:getCodepage();org.apache.poi.hpsf.MutableSection:setDictionary(java.util.Map);org.apache.poi.hpsf.MutableSection:write(java.io.OutputStream);org.apache.poi.hpsf.MutableSection:writeDictionary(java.io.OutputStream,java.util.Map,int);org.apache.poi.hpsf.Section:remove(org.apache.poi.hpsf.Property[],int);org.apache.poi.hpsf.Section:<init>(byte[],int);org.apache.poi.hpsf.Section:getOffset();org.apache.poi.hpsf.Section:equals(java.lang.Object);org.apache.poi.hpsf.MutableSection:<init>();org.apache.poi.hpsf.MutableSection:setProperty(int,java.lang.String);org.apache.poi.hpsf.Section:getDictionary()"
CVE-2014-0050,7.5,CWE-264,"org.apache.commons.fileupload.MultipartStream:<init>(java.io.InputStream,byte[],int,org.apache.commons.fileupload.MultipartStream$ProgressNotifier);org.apache.commons.fileupload.MultipartStream:<init>(java.io.InputStream,byte[],int,org.apache.commons.fileupload.MultipartStream$ProgressNotifier);org.apache.commons.fileupload.FileUploadBase$InvalidContentTypeException:<init>();org.apache.commons.fileupload.FileUploadBase$InvalidContentTypeException:<init>()"
CVE-2018-1339,4.3,CWE-835,"org.apache.tika.parser.chm.accessor.ChmDirectoryListingSet:enumerateChmDirectoryListingList(org.apache.tika.parser.chm.accessor.ChmItsfHeader,org.apache.tika.parser.chm.accessor.ChmItspHeader)"
CVE-2017-12196,4.3,CWE-863,"io.undertow.security.impl.DigestAuthenticationMechanism:handleDigestHeader(io.undertow.server.HttpServerExchange,io.undertow.security.api.SecurityContext)"
CVE-2016-1182,6.4,CWE-20,org.apache.struts.action.ActionServlet:initOther();org.apache.struts.action.ActionServlet:init()
