Upstream G:A:V,Downstream G:A:V
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.list:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.dev.demo:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.dev.demo.customwidget:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.editors.codemirror:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.editors.editarea:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.editors.fckeditor:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.editors.tinymce:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.administration:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.accounts:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.cache:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.content:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.database:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.galleryoverview:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.history:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.link:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.modules:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.projects:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.publishqueue:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.scheduler:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.searchindex:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.workplace:8.5.0
org.elasticsearch:elasticsearch:5.3.0,com.automattic:elasticsearch-statsd:5.3.0.0
org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-module-auditlog:5.3-4
org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-module-kibana-multitenancy:5.3-1
org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-rest-api:5.3-4
org.elasticsearch:elasticsearch:5.3.0,com.floragunn:search-guard-5:5.3.0-12
org.elasticsearch:elasticsearch:5.3.0,com.floragunn:search-guard-ssl:5.3.0-21
org.elasticsearch:elasticsearch:5.3.0,com.github.cafaudit:caf-audit-binding-elasticsearch:3.3.0-280
org.elasticsearch:elasticsearch:5.3.0,com.github.cafaudit:caf-audit-binding-webservice:3.3.0-280
org.elasticsearch:elasticsearch:5.3.0,com.ubirch.util:elasticsearch-client-binary_2.11:2.0.0
org.elasticsearch:elasticsearch:5.3.0,de.julielab:elasticsearch-mapper-preanalyzed:5.3.0
org.elasticsearch:elasticsearch:5.3.0,info.johtani.elasticsearch.plugin.ingest:ingest-csv:5.3.0.0
org.elasticsearch:elasticsearch:5.3.0,org.carrot2:elasticsearch-carrot2:5.3.0
org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-analysis-fess:5.3.0
org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-analysis-ja:5.3.0
org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-analysis-kuromoji-neologd:5.3.0
org.elasticsearch:elasticsearch:5.3.0,org.codelibs:elasticsearch-analysis-synonym:5.3.0
